Path,Name,Kind
common.items.armor.pants.cultist_legs_purple,Purple Cultist Skirt,CultistPurple
common.items.armor.pants.druid,Druid's Kilt,Druid
common.items.armor.pants.hunting,Hunting Pants,Hunting
common.items.armor.pants.leather_0,Swift Pants,Leather0
common.items.armor.pants.leather_2,Leather Leg Armour,Leather2
common.items.armor.pants.leather_adventurer,Agile Pantalons,Leather2
common.items.armor.pants.plate_green_0,Iron Legguards,PlateGreen0
common.items.armor.pants.steel_0,Steel Chausses,Steel0
common.items.armor.pants.tarasque,Tarasque Chausses,Tarasque
common.items.armor.pants.twig,Twig Pants,Twig
common.items.armor.pants.twigsflowers,Flowery Pants,Twigsflowers
common.items.armor.pants.twigsleaves,Leafy Pants,Twigsleaves
common.items.armor.pants.worker_blue_0,Blue Worker Pants,WorkerBlue0
common.items.armor.ring.ring_0,Scratched Ring,Ring0
common.items.armor.shoulder.assassin,Assassin Shoulder Guard,Assassin
common.items.armor.shoulder.bonerattler,Bonerattler Shoulder Pad,Bonerattler
common.items.armor.shoulder.cloth_blue_0,Blue Linen Coat,ClothBlue0
common.items.armor.shoulder.cloth_blue_1,Blue Cloth Pads,ClothBlue1
common.items.armor.shoulder.cloth_green_0,Green Linen Coat,ClothGreen0
common.items.armor.shoulder.cloth_purple_0,Purple Linen Coat,ClothPurple0
common.items.armor.shoulder.cultist_shoulder_blue,Blue Cultist Mantle,CultistBlue
common.items.armor.shoulder.cultist_shoulder_purple,Purple Cultist Mantle,CultistPurple
common.items.armor.shoulder.druidshoulder,Druid Shoulders,DruidShoulder
common.items.armor.shoulder.iron_spikes,Iron Spiked Pauldrons,IronSpikes
common.items.armor.shoulder.leather_0,Leather Pauldrons,Leather0
common.items.armor.shoulder.leather_1,Swift Shoulderpads,Leather1
common.items.armor.shoulder.leather_2,Leather Shoulder Pad,Leather2
common.items.armor.shoulder.leather_adventurer,Agile Guards,Leather2
common.items.armor.shoulder.leather_iron_0,Iron and Leather Spaulders,IronLeather0
common.items.armor.shoulder.leather_iron_1,Iron and Leather Spaulders,IronLeather1
common.items.armor.shoulder.leather_iron_2,Iron and Leather Spaulders,IronLeather2
common.items.armor.shoulder.leather_iron_3,Iron and Leather Spaulders,IronLeather3
common.items.armor.shoulder.leather_strips,Leather Strips,LeatherStrips
common.items.armor.shoulder.plate_0,Iron Shoulderguards,Plate0
common.items.armor.shoulder.steel_0,Steel Shoulder Pad,Steel0
common.items.armor.shoulder.tarasque,Tarasque Shoulder Pad,Tarasque
common.items.armor.shoulder.twigs,Twiggy Shoulders,TwiggyShoulder
common.items.armor.shoulder.twigsflowers,Flowery Shoulders,FlowerShoulder
common.items.armor.shoulder.twigsleaves,Leafy Shoulders,LeafyShoulder
common.items.armor.starter.lantern,Black Lantern,Black0
common.items.armor.starter.rugged_chest,Rugged Shirt,Rugged0
common.items.armor.starter.rugged_pants,Rugged Commoner's Pants,Rugged0
common.items.armor.starter.sandals_0,Worn out Sandals,Sandal0
common.items.armor.tabard.admin,Admin's Tabard,Admin
common.items.boss_drops.exp_flask,Flask of Velorite Dusk,
common.items.boss_drops.lantern,Magic Lantern,Blue0
common.items.boss_drops.potions,Potent Potion,
common.items.boss_drops.xp_potion,Potion of Skill,
common.items.consumable.potion_big,Large Potion,
common.items.consumable.potion_med,Medium Potion,
common.items.consumable.potion_minor,Minor Potion,
common.items.crafting_ing.empty_vial,Empty Vial,
common.items.crafting_ing.leather_scraps,Leather Scraps,
common.items.crafting_ing.shiny_gem,Shiny Gem,
common.items.crafting_ing.stones,Stones,
common.items.crafting_ing.twigs,Twigs,
common.items.crafting_tools.craftsman_hammer,Craftsman Hammer,
common.items.crafting_tools.mortar_pestle,Mortar and Pestle,
common.items.debug.admin,Admin's Tabard,Admin
common.items.debug.admin_back,Admin's Cape,Admin
common.items.debug.boost,Belzeshrub the Broom-God,Boost
common.items.debug.cultist_belt,Cultist Belt,Cultist
common.items.debug.cultist_boots,Cultist Boots,Cultist
common.items.debug.cultist_chest_blue,Blue Cultist Chest,CultistBlue
common.items.debug.cultist_hands_blue,Blue Cultist Gloves,CultistBlue
common.items.debug.cultist_legs_blue,Blue Cultist Skirt,CultistBlue
common.items.debug.cultist_purp_2h_boss-0,Admin Greatsword,CultPurp0
common.items.debug.cultist_shoulder_blue,Blue Cultist Mantle,CultistBlue
common.items.debug.dungeon_purple-0,Purple Admin Cape,DungPurp0
common.items.debug.possess,Belzeshrub the Broom-God,Boost
common.items.flowers.blue,Blue Flower,
common.items.flowers.pink,Pink Flower,
common.items.flowers.red,Red Flower,
common.items.flowers.sun,Sunflower,
common.items.flowers.white,White flower,
common.items.flowers.yellow,Yellow Flower,
common.items.food.apple,Apple,
common.items.food.apple_mushroom_curry,Mushroom Curry,
common.items.food.apple_stick,Apple Stick,
common.items.food.cheese,Dwarven Cheese,
common.items.food.coconut,Coconut,
common.items.food.mushroom,Mushroom,
common.items.food.mushroom_stick,Mushroom Stick,
common.items.grasses.long,Long Grass,
common.items.grasses.medium,Medium Grass,
common.items.grasses.short,Short Grass,
common.items.lantern.black_0,Black Lantern,Black0
common.items.lantern.blue_0,Cool Blue Lantern,Blue0
common.items.lantern.green_0,Lime Zest Lantern,Green0
common.items.lantern.red_0,Red Lantern,Red0
common.items.npc_armor.back.dungeon_purple-0,Purple Cultist Cape,DungPurp0
common.items.npc_armor.belt.cultist_belt,Cultist Belt,Cultist
common.items.npc_armor.chest.cultist_chest_purple,Purple Cultist Chest,CultistPurple
common.items.npc_armor.chest.worker_green_0,Green Worker Shirt,WorkerGreen0
common.items.npc_armor.chest.worker_green_1,Green Worker Shirt,WorkerGreen1
common.items.npc_armor.chest.worker_orange_0,Orange Worker Shirt,WorkerOrange0
common.items.npc_armor.chest.worker_orange_1,Orange Worker Shirt,WorkerOrange1
common.items.npc_armor.chest.worker_purple_0,Purple Worker Shirt,WorkerPurple0
common.items.npc_armor.chest.worker_purple_1,Purple Worker Shirt,WorkerPurple1
common.items.npc_armor.chest.worker_red_0,Red Worker Shirt,WorkerRed0
common.items.npc_armor.chest.worker_red_1,Red Worker Shirt,WorkerRed1
common.items.npc_armor.chest.worker_yellow_0,Yellow Worker Shirt,WorkerYellow0
common.items.npc_armor.chest.worker_yellow_1,Yellow Worker Shirt,WorkerYellow1
common.items.npc_armor.foot.cultist_boots,Cultist Boots,Cultist
common.items.npc_armor.hand.cultist_hands_purple,Purple Cultist Gloves,CultistPurple
common.items.npc_armor.pants.cultist_legs_purple,Purple Cultist Skirt,CultistPurple
common.items.npc_armor.shoulder.cultist_shoulder_purple,Purple Cultist Mantle,CultistPurple
common.items.npc_weapons.axe.malachite_axe-0,Malachite Axe,MalachiteAxe0
common.items.npc_weapons.axe.starter_axe,Notched Axe,BasicAxe
common.items.npc_weapons.bow.horn_longbow-0,Horn Bow,HornLongbow0
common.items.npc_weapons.dagger.starter_dagger,Rusty Dagger,BasicDagger
common.items.npc_weapons.empty.empty,Empty,
common.items.npc_weapons.hammer.cultist_purp_2h-0,Magical Cultist Warhammer,CultPurp0
common.items.npc_weapons.hammer.starter_hammer,Sturdy Old Hammer,BasicHammer
common.items.npc_weapons.shield.shield_1,A Tattered Targe,BasicShield
common.items.npc_weapons.staff.bone_staff,Bone Staff,BoneStaff
common.items.npc_weapons.staff.cultist_staff,Cultist Staff,CultistStaff
common.items.npc_weapons.sword.cultist_purp_2h-0,Magical Cultist Greatsword,CultPurp0
common.items.npc_weapons.sword.cultist_purp_2h_boss-0,Magical Cultist Greatsword,CultPurp0
common.items.npc_weapons.sword.starter_sword,Battered Sword,BasicSword
common.items.npc_weapons.sword.zweihander_sword_0,Sturdy Zweihander,Zweihander0
common.items.npc_weapons.tool.broom,Broom,Broom
common.items.npc_weapons.tool.fishing_rod,Fishing Rod,FishingRod0
common.items.npc_weapons.tool.hoe,Hoe,Hoe0
common.items.npc_weapons.tool.pickaxe,Pickaxe,Pickaxe0
common.items.npc_weapons.tool.pitchfork,Pitchfork,Pitchfork
common.items.npc_weapons.tool.rake,Rake,Rake
common.items.npc_weapons.tool.shovel-0,Shovel,Shovel0
common.items.npc_weapons.tool.shovel-1,Shovel,Shovel1
common.items.ore.velorite,Velorite,
common.items.ore.veloritefrag,Velorite Fragment,
common.items.testing.test_boots,Testing Boots,Dark
common.items.utility.bomb,Bomb,
common.items.utility.bomb_pile,Bomb,
common.items.utility.collar,Collar,
common.items.utility.firework_blue,Firework Blue,
common.items.utility.firework_green,Firework Green,
common.items.utility.firework_purple,Firework Purple,
common.items.utility.firework_red,Firework Red,
common.items.utility.firework_yellow,Firework Yellow,
common.items.utility.training_dummy,Training Dummy,
common.items.weapons.axe.bloodsteel_axe-0,Bloodsteel Axe,BloodsteelAxe0
common.items.weapons.axe.bloodsteel_axe-1,Executioner's Axe,BloodsteelAxe1
common.items.weapons.axe.bloodsteel_axe-2,Tribal Axe,BloodsteelAxe2
common.items.weapons.axe.bronze_axe-0,Bronze Axe,BronzeAxe0
common.items.weapons.axe.bronze_axe-1,Discus Axe,BronzeAxe1
common.items.weapons.axe.cobalt_axe-0,Cobalt Axe,CobaltAxe0
common.items.weapons.axe.iron_axe-0,Iron Greataxe,IronAxe0
common.items.weapons.axe.iron_axe-1,Ceremonial Axe,IronAxe1
common.items.weapons.axe.iron_axe-2,Cyclone Axe,IronAxe2
common.items.weapons.axe.iron_axe-3,Iron Battleaxe,IronAxe3
common.items.weapons.axe.iron_axe-4,Butcher's Axe,IronAxe4
common.items.weapons.axe.iron_axe-5,Barbarian's Axe,IronAxe5
common.items.weapons.axe.iron_axe-6,Iron Axe,IronAxe6
common.items.weapons.axe.iron_axe-7,Iron Labrys,IronAxe7
common.items.weapons.axe.iron_axe-8,Fanged Axe,IronAxe8
common.items.weapons.axe.iron_axe-9,Wolfen Axe,IronAxe9
common.items.weapons.axe.malachite_axe-0,Malachite Axe,MalachiteAxe0
common.items.weapons.axe.orc_axe-0,Beast Cleaver,OrcAxe0
common.items.weapons.axe.starter_axe,Notched Axe,BasicAxe
common.items.weapons.axe.steel_axe-0,Steel Battleaxe,SteelAxe0
common.items.weapons.axe.steel_axe-1,Steel Labrys,SteelAxe1
common.items.weapons.axe.steel_axe-2,Steel Axe,SteelAxe2
common.items.weapons.axe.steel_axe-3,Crescent Axe,SteelAxe3
common.items.weapons.axe.steel_axe-4,Moon Axe,SteelAxe4
common.items.weapons.axe.steel_axe-5,Owl Axe,SteelAxe5
common.items.weapons.axe.steel_axe-6,Spade Axe,SteelAxe6
common.items.weapons.axe.worn_iron_axe-0,Worn Dwarven Axe,WornIronAxe0
common.items.weapons.axe.worn_iron_axe-1,Worn Elven Axe,WornIronAxe1
common.items.weapons.axe.worn_iron_axe-2,Worn Human Axe,WornIronAxe2
common.items.weapons.axe.worn_iron_axe-3,Worn Orcish Axe,WornIronAxe3
common.items.weapons.axe.worn_iron_axe-4,Beetle Axe,WornIronAxe4
common.items.weapons.bow.horn_longbow-0,Horn Bow,HornLongbow0
common.items.weapons.bow.iron_longbow-0,Soldier's Bow,IronLongbow0
common.items.weapons.bow.leafy_longbow-0,Elven Longbow,LeafyLongbow0
common.items.weapons.bow.leafy_shortbow-0,Elven Shortbow,LeafyShortbow0
common.items.weapons.bow.nature_ore_longbow-0,Velorite Bow,NatureOreLongbow
common.items.weapons.bow.rare_longbow,Enchanted Longbow,RareLongbow
common.items.weapons.bow.starter_bow,Uneven Bow,ShortBow0
common.items.weapons.bow.wood_longbow-0,Longbow,WoodLongbow0
common.items.weapons.bow.wood_longbow-1,Recurve Bow,WoodLongbow1
common.items.weapons.bow.wood_shortbow-0,Hunting Bow,WoodShortbow0
common.items.weapons.bow.wood_shortbow-1,Horse Bow,WoodShortbow1
common.items.weapons.dagger.starter_dagger,Rusty Dagger,BasicDagger
common.items.weapons.empty.empty,Empty,
common.items.weapons.hammer.bronze_hammer-0,Bronze Hammer,BronzeHammer0
common.items.weapons.hammer.bronze_hammer-1,Bronze Club,BronzeHammer1
common.items.weapons.hammer.cobalt_hammer-0,Cobalt Hammer,CobaltHammer0
common.items.weapons.hammer.cobalt_hammer-1,Cobalt Mace,CobaltHammer1
common.items.weapons.hammer.cultist_purp_2h-0,Magical Cultist Warhammer,CultPurp0
common.items.weapons.hammer.flimsy_hammer,Flimsy Hammer,FlimsyHammer
common.items.weapons.hammer.hammer_1,Crude Mallet,BasicHammer
common.items.weapons.hammer.iron_hammer-0,Iron Hammer,IronHammer0
common.items.weapons.hammer.iron_hammer-1,Iron Battlehammer,IronHammer1
common.items.weapons.hammer.iron_hammer-2,Iron Mace,IronHammer2
common.items.weapons.hammer.iron_hammer-3,Crowned Mace,IronHammer3
common.items.weapons.hammer.iron_hammer-4,Forge Hammer,IronHammer4
common.items.weapons.hammer.iron_hammer-5,Pike Hammer,IronHammer5
common.items.weapons.hammer.iron_hammer-6,Spiked Maul,IronHammer6
common.items.weapons.hammer.iron_hammer-7,Giant's Fist,IronHammer7
common.items.weapons.hammer.iron_hammer-8,Lucerne Hammer,IronHammer8
common.items.weapons.hammer.mjolnir,Mjolnir,Mjolnir
common.items.weapons.hammer.ramshead_hammer,Ram's Head Mace,RamsheadHammer
common.items.weapons.hammer.runic_hammer,Runic Hammer,RunicHammer
common.items.weapons.hammer.starter_hammer,Sturdy Old Hammer,BasicHammer
common.items.weapons.hammer.steel_hammer-0,Steel Hammer,SteelHammer0
common.items.weapons.hammer.steel_hammer-1,Steel Greathammer,SteelHammer1
common.items.weapons.hammer.steel_hammer-2,Steel Club,SteelHammer2
common.items.weapons.hammer.steel_hammer-3,Battle Mace,SteelHammer3
common.items.weapons.hammer.steel_hammer-4,Brute's Hammer,SteelHammer4
common.items.weapons.hammer.steel_hammer-5,Morning Star,SteelHammer5
common.items.weapons.hammer.stone_hammer-0,Basalt Sledgehammer,StoneHammer0
common.items.weapons.hammer.stone_hammer-1,Granite Sledgehammer,StoneHammer1
common.items.weapons.hammer.stone_hammer-2,Rocky Maul,StoneHammer2
common.items.weapons.hammer.stone_hammer-3,Stone Sledgehammer,StoneHammer3
common.items.weapons.hammer.wood_hammer-0,Hardwood Mallet,WoodHammer0
common.items.weapons.hammer.worn_iron_hammer-0,Worn Dwarven Hammer,WornIronHammer0
common.items.weapons.hammer.worn_iron_hammer-1,Worn Elven Hammer,WornIronHammer1
common.items.weapons.hammer.worn_iron_hammer-2,Worn Human Mace,WornIronHammer2
common.items.weapons.hammer.worn_iron_hammer-3,Worn Orcish Hammer,WornIronHammer3
common.items.weapons.shield.shield_1,A Tattered Targe,BasicShield
common.items.weapons.staff.amethyst_staff,Amethyst Staff,AmethystStaff
common.items.weapons.staff.bone_staff,Bone Staff,BoneStaff
common.items.weapons.staff.cultist_staff,Cultist Staff,CultistStaff
common.items.weapons.staff.sceptre_velorite_0,Velorite Sceptre,SceptreVelorite
common.items.weapons.staff.staff_1,Humble Stick,BasicStaff
common.items.weapons.staff.staff_nature,Sceptre of Regeneration,Sceptre
common.items.weapons.staff.starter_staff,Gnarled Rod,BasicStaff
common.items.weapons.sword.cultist_purp_2h-0,Magical Cultist Greatsword,CultPurp0
common.items.weapons.sword.greatsword_2h_dam-0,Damaged Greatsword,GreatswordDam0
common.items.weapons.sword.greatsword_2h_dam-1,Damaged Greatsword,GreatswordDam1
common.items.weapons.sword.greatsword_2h_dam-2,Damaged Greatsword,GreatswordDam2
common.items.weapons.sword.greatsword_2h_fine-0,Fine Greatsword,GreatswordFine0
common.items.weapons.sword.greatsword_2h_fine-1,Fine Greatsword,GreatswordFine1
common.items.weapons.sword.greatsword_2h_fine-2,Fine Greatsword,GreatswordFine2
common.items.weapons.sword.greatsword_2h_orn-0,Ornamented Greatsword,GreatswordOrn0
common.items.weapons.sword.greatsword_2h_orn-1,Ornamented Greatsword,GreatswordOrn1
common.items.weapons.sword.greatsword_2h_orn-2,Ornamented Greatsword,GreatswordOrn2
common.items.weapons.sword.greatsword_2h_simple-0,Simple Greatsword,GreatswordSimple0
common.items.weapons.sword.greatsword_2h_simple-1,Simple Greatsword,GreatswordSimple1
common.items.weapons.sword.greatsword_2h_simple-2,Simple Greatsword,GreatswordSimple2
common.items.weapons.sword.long_2h_dam-0,Damaged Longsword,LongDam0
common.items.weapons.sword.long_2h_dam-1,Damaged Longsword,LongDam1
common.items.weapons.sword.long_2h_dam-2,Damaged Longsword,LongDam2
common.items.weapons.sword.long_2h_dam-3,Damaged Longsword,LongDam3
common.items.weapons.sword.long_2h_dam-4,Damaged Longsword,LongDam4
common.items.weapons.sword.long_2h_dam-5,Damaged Longsword,LongDam5
common.items.weapons.sword.long_2h_fine-0,Fine Longsword,LongFine0
common.items.weapons.sword.long_2h_fine-1,Fine Longsword,LongFine1
common.items.weapons.sword.long_2h_fine-2,Fine Longsword,LongFine2
common.items.weapons.sword.long_2h_fine-3,Fine Longsword,LongFine3
common.items.weapons.sword.long_2h_fine-4,Fine Longsword,LongFine4
common.items.weapons.sword.long_2h_fine-5,Fine Longsword,LongFine5
common.items.weapons.sword.long_2h_orn-0,Ornamented Longsword,LongOrn0
common.items.weapons.sword.long_2h_orn-1,Ornamented Longsword,LongOrn1
common.items.weapons.sword.long_2h_orn-2,Ornamented Longsword,LongOrn2
common.items.weapons.sword.long_2h_orn-3,Ornamented Longsword,LongOrn3
common.items.weapons.sword.long_2h_orn-4,Ornamented Longsword,LongOrn4
common.items.weapons.sword.long_2h_orn-5,Ornamented Longsword,LongOrn5
common.items.weapons.sword.long_2h_simple-0,Simple Longsword,LongSimple0
common.items.weapons.sword.long_2h_simple-1,Simple Longsword,LongSimple1
common.items.weapons.sword.long_2h_simple-2,Simple Longsword,LongSimple2
common.items.weapons.sword.long_2h_simple-3,Simple Longsword,LongSimple3
common.items.weapons.sword.long_2h_simple-4,Simple Longsword,LongSimple4
common.items.weapons.sword.long_2h_simple-5,Simple Longsword,LongSimple5
common.items.weapons.sword.short_sword_0,Vicious Gladius,Short0
common.items.weapons.sword.starter_sword,Battered Sword,BasicSword
common.items.weapons.sword.wood_sword,Forest Spirit,WoodTraining
common.items.weapons.sword.zweihander_sword_0,Sturdy Zweihander,Zweihander0
common.items.weapons.tool.broom,Broom,Broom
common.items.weapons.tool.fishing_rod,Fishing Rod,FishingRod0
common.items.weapons.tool.hoe,Hoe,Hoe0
common.items.weapons.tool.pickaxe,Pickaxe,Pickaxe0
common.items.weapons.tool.pitchfork,Pitchfork,Pitchfork
common.items.weapons.tool.rake,Rake,Rake
common.items.weapons.tool.shovel-0,Shovel,Shovel0
common.items.weapons.tool.shovel-1,Shovel,Shovel1
